rep pre	dem pre	rep pre sent	dem pre sent	diff pre sent	rep suff	dem suff	rep suff sent	dem suff sent	diff suff sent	change in diff
the republican party has achieved full control	the democrat party has achieved full control	0.9987183809280396	0.998562514781952	0.0001558661460876	" of the constitution and that's all that's required. "" 
 "" what do you mean, '"	 and control of the federal government. the first two years of the civil war have been very challenging but	-0.9373830556869507	-0.7932772636413574	-0.14410579204559326	0.14426165819168085
republicans won the majority in the	democrats won the majority in the	0.9985270500183104	0.9986625909805298	-0.0001355409622192	" final exam. 
 the great battle was the great siege of the great war, but the greeks had"	 polls, not to mention the other two other contenders. they didn't want to be in	0.7581252455711365	-0.9978197813034058	1.7559450268745422	-1.7560805678367615
cbs projects that the final number of republican seats will likely fall between	cbs projects that the final number of democrat seats will likely fall between	-0.997327446937561	-0.99693500995636	-0.0003924369812011	" ten and forty. "" 
 a murmur runs through the hall as heads turn in my direction. i"	" the two. "" 
 "" oh, "" said tench, surprised that stagmatter trusted the white man"	0.869452953338623	0.9981022477149963	-0.1286492943763733	0.1282568573951722
how large a majority republicans will have in the house	how large a majority democrats will have in the house	-0.8746351003646851	-0.9076144099235536	0.0329793095588684	" by year's end. "" 
 "" we are not talking just about a party, we are talking"	", but i don't think they plan on having a lot. 
 "" if those guys aren't"	0.9780187606811523	-0.9987861514091492	1.9768049120903015	-1.943825602531433
house republicans are also expected	house democrats are also expected	-0.8972054123878479	-0.859747052192688	-0.0374583601951599	" to vote. "" 
 "" but you can't count, "" he said. "" i'm a"	 to have political clout ; their constituents are too busy running the country to be a threat to it	0.9823081493377686	-0.9995090961456299	1.9818172454833984	-2.0192756056785583
"""nobody worked harder than the speaker, so i think he had that room going in,"" republican house member tom cole of"	"""nobody worked harder than the speaker, so i think he had that room going in,"" democrat house member tom cole of"	-0.992157816886902	-0.9915634393692015	-0.0005943775177001	" the senate was saying at the table as he filled a glass. "" no one has, we can"	" the ohio state capitol said. 
 "" don't know who it was, though. said there were"	-0.940843939781189	-0.9975143671035767	0.056670427322387695	-0.057264804840087793
as trump and biden met, senate republicans convened to elect their	as trump and biden met, senate democrats convened to elect their	0.9912234544754028	0.9921010136604308	-0.000877559185028	 third president. a political message was thrown out into the cold sea, and i heard that there was	 next leader. and while i did not see any great benefits from that vote myself, they did.	-0.9993448853492737	0.9979477524757385	-1.9972926378250122	1.9964150786399841
and also on wednesday afternoon, cbs projected republicans had won	and also on wednesday afternoon, cbs projected democrats had won	-0.537829577922821	0.9239328503608704	-1.4617624282836914	 their first primary victory to the great wrestling ring. this was the first time the ring had seen the	 the election on the first day of september. no longer was anyone going to have to be the only	0.9992296695709229	-0.9870100021362305	1.9862396717071533	-3.4480020999908447
""" now, republicans have officially taken control of"	""" now, democrats have officially taken control of"	0.9949938654899596	0.996793806552887	-0.0017999410629272	 the state. you may take a sip and keep to that list here. the president calls me congressman	 the political situation, and those who retain control have no wish to participate in public war against the state	0.7974485158920288	-0.9759652614593506	1.7734137773513794	-1.7752137184143066
that control is what donald trump's republican party now has	that control is what donald trump's democrat party now has	0.9918628931045532	0.9893089532852172	0.0025539398193359	", although it is also a powerful one.'that's great for him, "" said zachary,"	", "" she said as she took a closer look at him. he held as rigid as a statue"	0.9998767375946045	-0.9755691885948181	1.9754459261894226	-1.9728919863700867
